_id,adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,lpg_dagitim_sirketi,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longtitude
1,Firma 59,2,Akaryakıt Lpg,Firma 22,Firma 10,1,Aktif,2004,BAĞCILAR,40155,BAĞLAR,41.03131234,28.82300003
2,Firma 668,1,Akaryakıt,Firma 10,,1,Aktif,1183,BEŞİKTAŞ,40221,DİKİLİTAŞ,41.05508747,28.99931091
3,Firma 20,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,40.88624820,29.23630356
4,Firma 836,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1782,BÜYÜKÇEKMECE,40929,KAMİLOBA,41.03538576,28.44583136
5,Firma 314,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2050,BAŞAKŞEHİR,40584,ŞAHİNTEPE,41.06378245,28.74609478
6,Firma 78,1,Akaryakıt,,,1,Aktif,2004,BAĞCILAR,40169,15 TEMMUZ,41.03098273,28.81448575
7,Firma 687,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2054,SANCAKTEPE,40579,ABDURRAHMANGAZİ,40.99270409,29.22312900
8,Firma 797,1,Akaryakıt,Firma 12,,1,Aktif,1421,KADIKÖY,40520,GÖZTEPE,40.98153282,29.06863687
9,Firma 246,2,Akaryakıt Lpg,Firma 13,,1,Aktif,1166,BAKIRKÖY,40199,ŞENLİKKÖY,40.98799075,28.79598148
10,Firma 325,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1886,BAYRAMPAŞA,40206,TERAZİDERE,41.03408268,28.89697833
11,Firma 391,2,Akaryakıt Lpg,,,1,Aktif,2050,BAŞAKŞEHİR,,,,
12,Firma 544,2,Akaryakıt Lpg,Firma 2,Firma 48,1,Aktif,2053,ESENYURT,40881,ATATÜRK,41.02706788,28.62663288
13,Firma 215,1,Akaryakıt,Firma 15,,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.03209046,28.80008994
14,Firma 773,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.01178545,28.81783783
15,Firma 252,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2051,BEYLİKDÜZÜ,40894,YAKUPLU,41.00471020,28.66441315
16,Firma 130,1,Akaryakıt,Firma 12,,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,41.04992250,28.39087994
17,Firma 37,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2048,ARNAVUTKÖY,40908,YEŞİLBAYIR,41.13654881,28.62297640
18,Firma 879,1,Akaryakıt,Firma 13,,1,Aktif,1663,ŞİŞLİ,40694,FULYA,41.06570788,29.00223845
19,Firma 653,2,Akaryakıt Lpg,Firma 9,Firma 10,1,Aktif,2015,TUZLA,40726,TEPEÖREN,40.94460061,29.38799711
20,Firma 742,1,Akaryakıt,Firma 14,,1,Aktif,1622,SİLİVRİ,191847,BEYCİLER,41.23063559,28.11426707
21,Firma 8,1,Akaryakıt,Firma 13,,1,Aktif,2012,MALTEPE,40614,CEVİZLİ,40.92344507,29.15101452
22,Firma 227,1,Akaryakıt,Firma 5,,1,Aktif,1886,BAYRAMPAŞA,40208,YENİDOĞAN,41.04617400,28.91548504
23,Firma 273,1,Akaryakıt,Firma 12,,1,Aktif,1421,KADIKÖY,40514,FENERBAHÇE,40.97485903,29.05216014
24,Firma 353,2,Akaryakıt Lpg,Firma 9,Firma 3,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,40.98103833,29.13111308
25,Firma 547,1,Akaryakıt,Firma 12,,1,Aktif,1604,SARIYER,40671,SARIYER MERKEZ,41.16612884,29.05648411
26,Firma 473,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2054,SANCAKTEPE,40759,EMEK,41.00713878,29.19026753
27,Firma 681,1,Akaryakıt,,,1,Aktif,2051,BEYLİKDÜZÜ,40869,ADNAN KAHVECİ,41.00584050,28.62225456
28,Firma 866,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2051,BEYLİKDÜZÜ,40875,BARIŞ,41.00976787,28.65510920
29,Firma 682,1,Akaryakıt,Firma 12,,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,41.01261672,28.54140741
30,Firma 222,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1782,BÜYÜKÇEKMECE,40929,KAMİLOBA,41.04027366,28.42850663
31,Firma 29,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1835,PENDİK,40636,HARMANDERE,40.92669114,29.31750646
32,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1663,ŞİŞLİ,40709,TEŞVİKİYE,41.05601313,28.99761204
33,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2049,ATAŞEHİR,40533,KAYIŞDAĞI,40.98849474,29.14550502
34,Firma 837,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2015,TUZLA,40731,FATİH,40.92611498,29.35090343
35,Firma 418,1,Akaryakıt,Firma 12,,1,Aktif,1622,SİLİVRİ,191837,ÇELTİK,41.10724102,28.11222224
36,Firma 204,2,Akaryakıt Lpg,,,1,Aktif,2015,TUZLA,40720,AYDINLI,,
37,Firma 299,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2004,BAĞCILAR,40168,GÜNEŞLİ,41.03457580,28.83336008
38,Firma 377,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2004,BAĞCILAR,40160,YILDIZTEPE,41.02710473,28.85689017
39,Firma 126,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2004,BAĞCILAR,40171,DEMİRKAPI,41.04689728,28.83445194
40,Firma 575,1,Akaryakıt,Firma 10,,1,Aktif,2015,TUZLA,40720,AYDINLI,40.86628940,29.33488500
41,Firma 277,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2012,MALTEPE,40615,BAĞLARBAŞI,40.92912740,29.14617914
42,Firma 583,1,Akaryakıt,Firma 12,,1,Aktif,1186,BEYOĞLU,40303,PİRİPAŞA,41.04371363,28.94792856
43,Firma 593,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2004,BAĞCILAR,40159,İNÖNÜ,41.02743229,28.84747155
44,Firma 598,2,Akaryakıt Lpg,Firma 12,Firma 28,1,Aktif,2049,ATAŞEHİR,40577,FERHATPAŞA,40.98135375,29.16506433
45,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 14,1,Aktif,2016,ESENLER,40355,ORUÇREİS,41.07131312,28.86789576
46,Firma 521,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.01163702,28.82838406
47,Firma 188,1,Akaryakıt,Firma 15,,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,41.02438860,28.62363627
48,Firma 401,2,Akaryakıt Lpg,Firma 10,,1,Aktif,1237,ÇATALCA,,,,
49,Firma 138,1,Akaryakıt,Firma 12,,1,Aktif,1708,ÜSKÜDAR,40788,BULGURLU,41.01853850,29.08457534
50,Firma 158,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,41.02772258,28.90843274
51,Firma 965,1,Akaryakıt,Firma 19,,1,Aktif,2048,ARNAVUTKÖY,191989,YASSIÖREN,41.23183977,28.59967308
52,Firma 95,2,Akaryakıt Lpg,,,1,Aktif,1886,BAYRAMPAŞA,40213,MURATPAŞA,41.05178542,28.91069202
53,Firma 700,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,41.00221520,28.91983752
54,Firma 31,2,Akaryakıt Lpg,Firma 20,Firma 50,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,40.88430941,29.23593670
55,Firma 731,1,Akaryakıt,Firma 12,,1,Aktif,1166,BAKIRKÖY,40196,ATAKÖY 7-8-9-10. KISIM,40.99171034,28.83805773
56,Firma 663,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2048,ARNAVUTKÖY,40480,YAVUZ SELİM,41.20513127,28.72826561
57,Firma 383,2,Akaryakıt Lpg,Firma 12,Firma 37,1,Aktif,2053,ESENYURT,181488,BARBAROS HAYRETTİN PAŞA,41.01685310,28.63926464
58,Firma 178,1,Akaryakıt,Firma 12,,1,Aktif,1449,KARTAL,40571,YALI,40.89673080,29.22263569
59,Firma 68,1,Akaryakıt,Firma 5,,1,Aktif,2054,SANCAKTEPE,40579,ABDURRAHMANGAZİ,40.99167440,29.22373631
60,Firma 952,2,Akaryakıt Lpg,Firma 10,Firma 33,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,40.98244232,29.10612673
61,Firma 693,1,Akaryakıt,Firma 5,,1,Aktif,2054,SANCAKTEPE,40576,FATİH,40.96950037,29.22021668
