GEOHASH,LATITUDE,LONGITUDE,MEAN_DAILY_VEHICLES,MEAN_SPEED,PEAK_HOUR_VEHICLES
sx7chk,40.9817504882813,27.9656982421875,571.3728813559322,83.03475134811264,104.0
sx7chm,40.9872436523438,27.9656982421875,946.0254237288135,69.20840819259791,124.0
sx7cht,40.9872436523438,27.9766845703125,869.1581920903955,36.457998801677654,131.0
sx7chw,40.9927368164063,27.9766845703125,1072.1949152542372,67.09738859607091,133.0
sx7chx,40.9982299804688,27.9766845703125,1068.3333333333333,70.05521619355612,136.0
sx7ck8,41.0037231445313,27.9766845703125,1012.7598870056497,74.99389148401006,131.0
sx7ck9,41.0092163085938,27.9766845703125,1085.8361581920904,59.34159779614325,146.0
sx7ckc,41.0092163085938,27.9876708984375,346.8502824858757,72.69865642994242,72.0
sx7ckf,41.0147094726563,27.9876708984375,845.2796610169491,75.42175892643182,116.0
sx7ckg,41.0202026367188,27.9876708984375,696.2090395480226,69.70222968113163,103.0
sx7cm5,41.0202026367188,27.9986572265625,584.5028248587571,73.39179954441913,104.0
sx7cmh,41.0256958007813,27.9986572265625,952.1073446327683,73.97256170620656,125.0
sx7cmj,41.0311889648438,27.9986572265625,311.2457627118644,72.0702280912365,69.0
sx7cmm,41.0311889648438,28.0096435546875,998.7824858757062,81.57384117858426,130.0
sx7cmq,41.0366821289063,28.0096435546875,603.2683615819209,81.8562867074194,106.0
sx7cmw,41.0366821289063,28.0206298828125,992.3333333333334,84.21834950293449,128.0
sx7cmx,41.0421752929688,28.0206298828125,488.1271186440678,87.7659753027215,94.0
sx7cmz,41.0421752929688,28.0316162109375,991.9604519774011,78.97735984666986,129.0
sx7cqp,41.0421752929688,28.0426025390625,386.5282485875706,70.60906583523204,81.0
sx7ctr,41.0861206054688,28.0096435546875,347.10169491525426,77.14662015876834,63.0
sx7ctx,41.0861206054688,28.0206298828125,878.6214689265537,74.3748052259379,114.0
sx7ctz,41.0861206054688,28.0316162109375,874.9152542372881,86.03427612655801,130.0
sx7cu3,41.0971069335938,27.9656982421875,723.319209039548,78.48759141589737,111.0
sx7cu9,41.0971069335938,27.9766845703125,864.632768361582,84.70188271975057,114.0
sx7cuc,41.0971069335938,27.9876708984375,852.5593220338983,88.02757132582114,106.0
sx7cv0,41.0916137695313,27.9986572265625,874.8841807909605,56.748681687440076,117.0
sx7cv1,41.0971069335938,27.9986572265625,717.1073446327683,66.62129751768798,97.0
sx7cv2,41.0916137695313,28.0096435546875,898.6638418079096,75.85007190795781,120.0
sx7cw0,41.0476684570313,28.0426025390625,1222.3728813559321,54.594992812649735,147.0
sx7cw2,41.0476684570313,28.0535888671875,964.2457627118644,79.29871840939035,131.0
sx7cw3,41.0531616210938,28.0535888671875,931.6158192090395,84.79623862002875,128.0
sx7cw9,41.0531616210938,28.0645751953125,1037.8135593220338,85.64662194537614,137.0
sx7cwd,41.0586547851563,28.0645751953125,363.94350282485874,86.07683087618362,78.0
sx7cwf,41.0586547851563,28.0755615234375,1137.774011299435,86.86583612841399,135.0
sx7cwn,41.0806274414063,28.0426025390625,731.0706214689266,87.23375689283145,126.0
sx7cwp,41.0861206054688,28.0426025390625,606.7796610169491,83.85685169643928,118.0
sx7cwq,41.0806274414063,28.0535888671875,935.45197740113,82.52019173157579,143.0
sx7cwt,41.0751342773438,28.0645751953125,3.5634218289085546,77.1616982836495,3.0
sx7cwv,41.0751342773438,28.0755615234375,906.3022598870057,79.98286604361371,137.0
sx7cww,41.0806274414063,28.0645751953125,869.4435028248588,87.79805848513902,132.0
sx7cwy,41.0806274414063,28.0755615234375,63.37570621468927,84.49487108400332,24.0
sx7cx4,41.0586547851563,28.0865478515625,1056.1892655367233,86.44849065644466,135.0
sx7cx5,41.0641479492188,28.0865478515625,178.75706214689265,82.62385321100918,42.0
sx7cx7,41.0641479492188,28.0975341796875,1228.8333333333333,82.72113080977479,149.0
sx7cxe,41.0641479492188,28.1085205078125,75.50847457627118,78.79539841414272,28.0
sx7cxj,41.0751342773438,28.0865478515625,1182.9096045197741,59.14675931472385,153.0
sx7cxk,41.0696411132813,28.0975341796875,1115.4632768361582,80.97579968851085,165.0
sx7cxm,41.0751342773438,28.0975341796875,373.2994350282486,80.24131714938109,94.0
sx7cxs,41.0696411132813,28.1085205078125,2305.7062146892654,70.10682634730539,309.0
sx7cxt,41.0751342773438,28.1085205078125,168.7683615819209,63.32924880127864,49.0
sx7cxu,41.0696411132813,28.1195068359375,1357.3135593220338,70.33616868335929,244.0
sx7cxv,41.0751342773438,28.1195068359375,1799.9209039548023,78.5467832754283,274.0
sx7cxw,41.0806274414063,28.1085205078125,134.27966101694915,80.19791948122129,38.0
sx7cxx,41.0861206054688,28.1085205078125,132.50282485875707,78.99475100942126,43.0
sx7cz8,41.0916137695313,28.1085205078125,143.28531073446328,77.68330211399518,47.0
sx7cz9,41.0971069335938,28.1085205078125,153.5536723163842,77.92001066524463,52.0
sx7czd,41.1026000976563,28.1085205078125,146.52542372881356,78.42683578104139,55.0
sx7cze,41.1080932617188,28.1085205078125,137.90112994350284,66.70635344367325,48.0
sx7czs,41.1135864257813,28.1085205078125,128.10169491525423,75.77059297021734,53.0
sx7czt,41.1190795898438,28.1085205078125,120.64971751412429,85.96592752839372,49.0
sx7czw,41.1245727539063,28.1085205078125,123.35593220338983,82.94956051386072,57.0
