GEOHASH,TOTAL_VEHICLES,TOTAL_WEIGHTED_SUM,UNIQUE_DAYS,LATITUDE,LONGITUDE,MEAN_DAILY_VEHICLES,MEAN_SPEED,DEMAND_SCORE
sxk9pq,5341766,191961729,355,40.9927368164063,29.1522216796875,15047.228169014084,35.93600487179708,1065.38586666069
sxk3x8,4721712,166728649,354,41.0476684570313,28.8116455078125,13338.169491525423,35.31105857366989,960.5863079290978
sxk3rs,4724627,169679540,355,41.0256958007813,28.8116455078125,13308.808450704226,35.913848860449725,942.8805964658187
sxk3xe,5664472,248836180,355,41.0641479492188,28.8116455078125,15956.259154929578,43.92928061079656,924.6482527928636
sxkb6p,5013870,203706837,355,40.8663940429688,29.2730712890625,14123.577464788732,40.62866348748572,884.7725068360579
sxk3xd,5251609,226371280,355,41.0586547851563,28.8116455078125,14793.264788732395,43.10512835209171,873.6063716240793
sxk985,5246491,245582636,355,41.0641479492188,28.8336181640625,14778.847887323944,46.808931150363165,803.8446088504018
sxk3k8,5115363,238418027,354,41.0037231445313,28.6798095703125,14450.177966101695,46.608232299447764,788.9669923620773
sxk3x7,4591255,194711447,355,41.0641479492188,28.8006591796875,12933.112676056338,42.409199009856785,776.259987948855
sxk3js,3095357,93239959,355,40.9817504882813,28.7237548828125,8719.315492957747,30.122521893274346,736.103280043704
sxk9n3,3565109,126238805,355,40.9652709960938,29.1082763671875,10042.560563380282,35.409521840706695,721.5836711072187
sxk8yv,3891259,152702315,355,40.9432983398438,29.1302490234375,10961.292957746478,39.242393014702955,710.8665424690996
sxkbgk,5689212,335024354,355,40.9378051757813,29.3280029296875,16025.949295774648,58.88765509177721,693.1858578646492
sxkb6s,3896702,159907481,354,40.8499145507813,29.2950439453125,11007.632768361582,41.036620454938564,682.4084447249221
sxk3rt,4102696,179149216,355,41.0311889648438,28.8116455078125,11556.890140845071,43.666217531106376,673.734880229813
sxk9fc,4456140,213795509,354,41.0971069335938,28.9544677734375,12587.966101694916,47.97773611242017,667.7142198371037
sxk3rx,3811930,158579724,355,41.0421752929688,28.8116455078125,10737.830985915492,41.600901380665434,656.9891282961514
sxk3x5,4097057,184180327,354,41.0641479492188,28.7896728515625,11573.607344632768,44.95429939100188,655.1059942417812
sxk3py,4314367,204009757,355,40.9927368164063,28.8226318359375,12153.14647887324,47.28613884725152,654.3716435483266
sxk3t9,4206756,194616865,355,41.0531616210938,28.7237548828125,11850.016901408451,46.26293157958294,652.131445725743
