GEOHASH,TOTAL_VEHICLES,TOTAL_WEIGHTED_SUM,UNIQUE_DAYS,LATITUDE,LONGITUDE,MEAN_DAILY_VEHICLES,MEAN_SPEED,DEMAND_SCORE
sxkbgk,5689212,335024354,355,40.9378051757813,29.3280029296875,16025.949295774648,58.88765509177721,693.1858578646492
sxk3xe,5664472,248836180,355,41.0641479492188,28.8116455078125,15956.259154929578,43.92928061079656,924.6482527928636
sxk9pq,5341766,191961729,355,40.9927368164063,29.1522216796875,15047.228169014084,35.93600487179708,1065.38586666069
sxkbge,5308423,345121014,355,40.9323120117188,29.3389892578125,14953.304225352113,65.01384949918271,585.9369140192106
sxk3xd,5251609,226371280,355,41.0586547851563,28.8116455078125,14793.264788732395,43.10512835209171,873.6063716240793
sxk985,5246491,245582636,355,41.0641479492188,28.8336181640625,14778.847887323944,46.808931150363165,803.8446088504018
sxk3k8,5115363,238418027,354,41.0037231445313,28.6798095703125,14450.177966101695,46.608232299447764,788.9669923620773
sxkb6p,5013870,203706837,355,40.8663940429688,29.2730712890625,14123.577464788732,40.62866348748572,884.7725068360579
sxk9nx,4889795,264594217,355,40.9982299804688,29.1192626953125,13774.070422535211,54.11151530892399,648.2728208460634
sxk3x8,4721712,166728649,354,41.0476684570313,28.8116455078125,13338.169491525423,35.31105857366989,960.5863079290978
sxk3rs,4724627,169679540,355,41.0256958007813,28.8116455078125,13308.808450704226,35.913848860449725,942.8805964658187
sxk3x7,4591255,194711447,355,41.0641479492188,28.8006591796875,12933.112676056338,42.409199009856785,776.259987948855
sxkc0s,4545777,290018513,355,40.9817504882813,29.2071533203125,12805.005633802817,63.79954692014149,511.29206971122784
sxkc17,4501812,261582394,355,40.9762573242188,29.2401123046875,12681.160563380281,58.106023530080776,555.8762672906032
sxk9fc,4456140,213795509,354,41.0971069335938,28.9544677734375,12587.966101694916,47.97773611242017,667.7142198371037
sxkbgf,4422964,271937641,355,40.9268188476563,29.3499755859375,12459.05352112676,61.483123308261156,516.1909687837882
sxkbgj,4381114,319431146,355,40.9432983398438,29.3170166015625,12341.166197183098,72.91094137244545,431.2760235230901
sxkc0u,4369876,231754032,355,40.9817504882813,29.2181396484375,12309.50985915493,53.03446413582445,591.0871487271208
sxk3s9,4334190,230144996,355,41.0531616210938,28.6798095703125,12208.985915492958,53.09988625325609,585.5391671524261
sxk3py,4314367,204009757,355,40.9927368164063,28.8226318359375,12153.14647887324,47.28613884725152,654.3716435483266
