event_id,region,centroid_latitude,centroid_longitude,start_date,end_date,duration_days,total_frp,mean_frp,max_brightness,n_detections,pct_night,conflict_associated
E000001,Eastern_Mediterranean,31.039212970297026,29.76258326732673,2024-01-01,2024-06-30,182,4042.48,2.354385556202679,367.0,1717,0.8270238788584741,1
E000002,Eastern_Mediterranean,29.903718333333334,40.25087666666666,2024-01-01,2024-06-17,169,10.16,1.6933333333333334,350.38,6,0.6666666666666666,1
E000003,Eastern_Mediterranean,31.978918305084747,36.07145372881356,2024-01-01,2024-06-29,181,109.89,1.862542372881356,351.02,59,0.7796610169491526,1
E000004,Eastern_Mediterranean,36.964905507527206,40.36165041884037,2024-01-01,2024-06-30,182,53526.88,7.978369354598301,367.0,6709,0.5911462214935161,1
E000005,Eastern_Mediterranean,37.80244627906976,40.53046976744186,2024-01-01,2024-06-30,182,1073.37,6.240523255813953,367.0,172,0.5465116279069767,1
E000006,Eastern_Mediterranean,37.659486,33.279556,2024-01-01,2024-04-01,92,17.39,3.478,339.42,5,0.0,0
E000007,Eastern_Mediterranean,34.918626093294456,40.83280475218659,2024-01-01,2024-06-30,182,513.3699999999999,1.4967055393586002,356.45,343,0.9008746355685131,1
E000008,Eastern_Mediterranean,35.302558308823535,40.44447139705882,2024-01-01,2024-06-30,182,140.59,1.03375,324.78,136,1.0,1
E000009,Eastern_Mediterranean,36.14882484210527,41.045586842105266,2024-01-01,2024-06-29,181,56.660000000000004,0.596421052631579,314.87,95,1.0,1
E000010,Eastern_Mediterranean,36.1388223160763,40.813580953678475,2024-01-01,2024-06-30,182,484.65999999999997,1.320599455040872,367.0,367,0.9591280653950953,1
E000011,Eastern_Mediterranean,30.46811601513241,31.215725384615382,2024-01-01,2024-06-30,182,2767.7799999999997,3.4902648171500625,367.0,793,0.6254728877679697,1
E000012,Eastern_Mediterranean,30.709078720292506,33.82600575868372,2024-01-01,2024-06-30,182,1091.8000000000002,1.9959780621572216,353.7,547,0.943327239488117,1
E000013,Eastern_Mediterranean,31.005537142857143,30.65404428571429,2024-01-01,2024-06-09,161,12.06,1.7228571428571429,342.26,7,0.7142857142857143,1
E000014,Eastern_Mediterranean,31.453806960784313,31.647525882352937,2024-01-01,2024-06-21,173,412.4300000000001,4.043431372549021,367.0,102,0.696078431372549,1
E000015,Eastern_Mediterranean,29.688904463414634,32.31661009756098,2024-01-01,2024-06-30,182,1242.03,3.0293414634146343,367.0,410,0.8536585365853658,1
E000016,Eastern_Mediterranean,29.788825496062994,32.13956694488189,2024-01-01,2024-06-30,182,919.21,1.4475748031496063,338.57,635,0.9968503937007874,1
E000017,Eastern_Mediterranean,29.818368413173648,31.333650718562875,2024-01-01,2024-06-30,182,553.21,1.6563173652694612,367.0,334,0.9520958083832335,1
E000018,Eastern_Mediterranean,31.50138835051547,34.501357525773194,2024-01-02,2024-06-14,165,346.94,3.576701030927835,367.0,97,0.6804123711340206,1
E000019,Eastern_Mediterranean,29.040045040783035,31.201915171288746,2024-01-02,2024-06-28,179,1242.67,2.027194127243067,352.77,613,0.9265905383360522,1
E000020,Eastern_Mediterranean,31.0763,30.4029475,2024-01-02,2024-06-23,174,6.449999999999999,1.6124999999999998,335.6,4,0.75,1
E000021,Eastern_Mediterranean,32.25023375,38.79088375,2024-01-02,2024-01-03,2,18.439999999999998,2.3049999999999997,341.54,8,0.875,0
E000022,Eastern_Mediterranean,32.9489225,35.31776,2024-01-02,2024-06-23,174,22.08,5.52,349.13,4,0.0,1
E000023,Eastern_Mediterranean,33.16604614349776,35.50979434977578,2024-01-02,2024-06-29,180,1869.79,8.384708520179371,367.0,223,0.32286995515695066,1
E000024,Eastern_Mediterranean,34.703915382513664,36.623214125683056,2024-01-02,2024-06-30,181,1046.77,2.8600273224043717,367.0,366,0.6994535519125683,1
E000025,Eastern_Mediterranean,34.182229506172845,41.06843629629629,2024-01-02,2024-06-29,180,672.38,8.300987654320988,367.0,81,0.7160493827160493,1
E000026,Eastern_Mediterranean,34.46192666666667,35.916045555555556,2024-01-02,2024-06-29,180,32.67,1.21,354.9,27,0.9259259259259259,1
E000027,Eastern_Mediterranean,35.19692722222222,40.084575,2024-01-02,2024-06-30,181,24.47,0.6797222222222222,318.01,36,1.0,1
